MoleculeType	code	gene
Proteins	UniProt:	PMS1
Proteins	UniProt:Q9UBT6	POLK
Proteins	UniProt:Q9UI95	MAD2L2
Proteins	UniProt:O60673	REV3L
Proteins	UniProt:Q9UBZ9	REV1
Proteins	UniProt:P35250	RFC2
Proteins	UniProt:P35251	RFC1
Proteins	UniProt:P40937	RFC5
Proteins	UniProt:P35249	RFC4
Proteins	UniProt:P40938	RFC3
Proteins	UniProt:P27694	RPA1
Proteins	UniProt:P35244	RPA3
Proteins	UniProt:P15927	RPA2
Proteins	UniProt:P12004	PCNA
Proteins	UniProt:P0CG48	UBC
Proteins	UniProt:P0CG47	UBB
Proteins	UniProt:P62987	UBA52
Proteins	UniProt:P62979	RPS27A
Proteins	UniProt:Q96PM5	RCHY1
Proteins	UniProt:Q9Y253	POLH
Proteins	UniProt:P55072	VCP
Proteins	UniProt:Q92890	UFD1
Proteins	UniProt:Q9H040	SPRTN
Proteins	UniProt:Q9UNA4	POLI
Proteins	UniProt:P05161	ISG15
Proteins	UniProt:Q14694	USP10
Proteins	UniProt:Q70EL4	USP43
Proteins	UniProt:P56282	POLE2
Proteins	UniProt:Q07864	POLE
Proteins	UniProt:Q9NRF9	POLE3
Proteins	UniProt:Q9NR33	POLE4
Proteins	UniProt:P28340	POLD1
Proteins	UniProt:P49005	POLD2
Proteins	UniProt:Q15054	POLD3
Proteins	UniProt:Q9HCU8	POLD4
Proteins	UniProt:Q15004	PCLAF
Proteins	UniProt:O14933	UBE2L6
Proteins	UniProt:Q14258	TRIM25
Proteins	UniProt:P41226	UBA7
Proteins	UniProt:Q16531	DDB1
Proteins	UniProt:P62877	RBX1
Proteins	UniProt:Q13619	CUL4A
Proteins	UniProt:Q13620	CUL4B
Proteins	UniProt:Q9NZJ0	DTL
Proteins	UniProt:Q9NS91	RAD18
Proteins	UniProt:P63146	UBE2B
Proteins	UniProt:Q8TAF3	WDR48
Proteins	UniProt:O94782	USP1
Proteins	UniProt:P16455	MGMT
Proteins	UniProt:Q6NS38	ALKBH2
Proteins	UniProt:Q6P6C2	ALKBH5
Proteins	UniProt:Q9C0B1	FTO
Proteins	UniProt:Q9H1I8	ASCC2
Proteins	UniProt:Q8N3C0	ASCC3
Proteins	UniProt:Q8N9N2	ASCC1
Proteins	UniProt:Q96Q83	ALKBH3
Proteins	UniProt:Q2YD98	UVSSA
Proteins	UniProt:Q93009	USP7
Proteins	UniProt:Q9UNP9	PPIE
Proteins	UniProt:Q9HCS7	XAB2
Proteins	UniProt:Q9UMS4	PRPF19
Proteins	UniProt:Q9ULR0	ISY1
Proteins	UniProt:Q96NB3	ZNF830
Proteins	UniProt:O60306	AQR
Proteins	UniProt:Q13216	ERCC8
Proteins	UniProt:Q92759	GTF2H4
Proteins	UniProt:P19447	ERCC3
Proteins	UniProt:Q13889	GTF2H3
Proteins	UniProt:Q13888	GTF2H2
Proteins	UniProt:P32780	GTF2H1
Proteins	UniProt:Q6ZYL4	GTF2H5
Proteins	UniProt:P50613	CDK7
Proteins	UniProt:P51948	MNAT1
Proteins	UniProt:P51946	CCNH
Proteins	UniProt:P18074	ERCC2
Proteins	UniProt:P19388	POLR2E
Proteins	UniProt:P62875	POLR2L
Proteins	UniProt:P61218	POLR2F
Proteins	UniProt:P52434	POLR2H
Proteins	UniProt:P36954	POLR2I
Proteins	UniProt:P52435	POLR2J
Proteins	UniProt:P30876	POLR2B
Proteins	UniProt:P53803	POLR2K
Proteins	UniProt:P19387	POLR2C
Proteins	UniProt:O15514	POLR2D
Proteins	UniProt:P24928	POLR2A
Proteins	UniProt:P62487	POLR2G
Proteins	UniProt:Q03468	ERCC6
Proteins	UniProt:P23193	TCEA1
Proteins	UniProt:Q09472	EP300
Proteins	UniProt:P23025	XPA
Proteins	UniProt:P05114	HMGN1
Proteins	UniProt:Q92889	ERCC4
Proteins	UniProt:P07992	ERCC1
Proteins	UniProt:P28715	ERCC5
Proteins	UniProt:P49916	LIG3
Proteins	UniProt:P18887	XRCC1
Proteins	UniProt:P18858	LIG1
Proteins	UniProt:Q99627	COPS8
Proteins	UniProt:P61201	COPS2
Proteins	UniProt:Q7L5N1	COPS6
Proteins	UniProt:Q13098	GPS1
Proteins	UniProt:Q9UBW8	COPS7A
Proteins	UniProt:Q9H9Q2	COPS7B
Proteins	UniProt:Q9BT78	COPS4
Proteins	UniProt:Q92905	COPS5
Proteins	UniProt:Q9UNS2	COPS3
Proteins	UniProt:P55199	ELL
Proteins	UniProt:Q86WJ1	CHD1L
Proteins	UniProt:Q9UGN5	PARP2
Proteins	UniProt:P09874	PARP1
Proteins	UniProt:Q92466	DDB2
Proteins	UniProt:Q01831	XPC
Proteins	UniProt:P54725	RAD23A
Proteins	UniProt:P54727	RAD23B
Proteins	UniProt:P41208	CETN2
Proteins	UniProt:Q53TQ3	INO80D
Proteins	UniProt:Q8NBZ0	INO80E
Proteins	UniProt:Q9H9F9	ACTR5
Proteins	UniProt:Q9C086	INO80B
Proteins	UniProt:Q9H981	ACTR8
Proteins	UniProt:Q96EZ8	MCRS1
Proteins	UniProt:P0C1Z6	TFPT
Proteins	UniProt:Q6PI98	INO80C
Proteins	UniProt:P60709	ACTB
